id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14117917,Charming City Centered ~ Walk to Zoo!,46630199,Home Sweet City,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9248,-77.04301,Entire home/apt,120,3,168,2024-05-21,1.75,81,133,28,Hosted License: 5007242201000469
14201057,Modern Basement Apartment in Upper Georgetown,16206623,Jeff,,"Cathedral Heights, McLean Gardens, Glover Park",38.92259,-77.07299,Entire home/apt,175,3,50,2024-06-15,0.53,2,210,13,Hosted License: 5007262201001766<br />Unhosted License: 5007262201001765
14233774,Cozy 1BD apt steps away from metro with parking,64827706,Alper,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93514,-77.02648,Entire home/apt,90,31,307,2024-05-18,3.30,2,129,4,
14333797,Capitol Hill apartment: first floor living & bikes,87724136,Jo,,"Capitol Hill, Lincoln Park",38.89003,-76.9864,Entire home/apt,,270,40,2022-06-01,0.42,1,363,0,
14357248,Heart of D.C. Row House - Live Like a Local!,4336089,Paul And Chani,,"Union Station, Stanton Park, Kingman Park",38.90267,-76.99825,Entire home/apt,149,3,180,2024-06-18,1.91,1,45,21,Hosted License: 5007242201000477
14374409,Chic & Modern 2-bdr apt in central downtown DC,6789081,Anup,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91491,-77.0249,Entire home/apt,,2,215,2024-05-25,2.27,1,0,18,Hosted License: 5007242201002537
14444701,The cottage at Bloomingdale Manse,88939509,Renee,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92005,-77.01174,Entire home/apt,,4,48,2024-06-03,0.50,1,261,17,Hosted License: 5007242201002312
14446252,Boat-like studio apartment in Brookland,2733434,Katie,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.92727,-76.99379,Entire home/apt,70,31,28,2024-04-30,0.30,1,63,4,
14501592,Newly Renovated 2BR Apt in the heart of DC-Parking,89016153,Carlos,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91992,-77.01018,Entire home/apt,140,3,476,2024-06-14,4.99,1,279,55,Hosted License: 5007242201001319
14506047,Washington DC's Finest: 4 bdrms+house 1-7 Persons,89373138,Jeff,,"River Terrace, Benning, Greenway, Dupont Park",38.88406,-76.94677,Entire home/apt,130,31,127,2024-03-23,1.44,2,307,3,
14520972,Furnished Room- 2 blocks from DC Convention Center,8043437,Rocky,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90446,-77.02751,Private room,69,31,71,2023-09-26,0.77,6,309,1,
14548071,"Spacious, Sun-filled 1 Bedroom / 1 Bathroom",6878743,Carey,,"Brightwood Park, Crestwood, Petworth",38.94033,-77.0279,Entire home/apt,,89,4,2023-05-15,0.05,1,312,0,
14555537,ConventionCenter/Logan Circle home. 96 walk score,90117890,Jonathan,,"Shaw, Logan Circle",38.90936,-77.02671,Entire home/apt,386,3,208,2024-06-15,2.20,3,68,40,Exempt
14589571,1 bedroom apartment in the heart of Shaw,2127232,Wally,,"Shaw, Logan Circle",38.91141,-77.02178,Entire home/apt,,31,24,2021-02-01,0.25,1,0,0,
14685847,Chic and Modern 2 Bedroom,54919923,Tess,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93176,-77.03966,Entire home/apt,196,2,275,2024-06-02,2.93,1,231,34,Hosted License: 5007242201000496
14805243,New 2 BR Apartment within a Dupont Brownstone,14229159,Dominick,,"Dupont Circle, Connecticut Avenue/K Street",38.91139,-77.03941,Entire home/apt,208,1,499,2024-06-05,5.26,1,245,85,Hosted License: 5007242201000694
14865465,Studio in the Heart of Adams Morgan (Apt. 4A),93122946,Hector,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92393,-77.04302,Entire home/apt,77,31,241,2023-09-19,2.55,2,219,1,
14890121,Super Clean - 2 bd/2 bth- English Basement,22276780,Cynthia,,"Brightwood Park, Crestwood, Petworth",38.93926,-77.01847,Entire home/apt,228,2,141,2024-06-17,1.51,1,270,22,Hosted License: 5007242201000645<br />Unhosted License: 5007262201000646
14899604,DC Living!  Newly Renovated Apartment in Petworth,21290155,Barbara,,"Brightwood Park, Crestwood, Petworth",38.94135,-77.01728,Entire home/apt,71,31,22,2024-02-01,0.25,1,220,4,
14913168,Charming studio apartment in Adams Morgan (Apt 4B),93122946,Hector,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92384,-77.04152,Entire home/apt,68,31,195,2024-04-14,2.06,2,95,3,
14944917,Sunny English Basement,48468538,Dick,,"Capitol Hill, Lincoln Park",38.89124,-76.98628,Entire home/apt,135,3,338,2024-06-18,3.58,1,66,30,Hosted License: 5101510122000030
15014312,North Capitol Hill Luxury Townhome in Perfect Location,86401186,Paul,,"Union Station, Stanton Park, Kingman Park",38.90387,-76.99821,Entire home/apt,139,2,602,2024-05-26,6.37,3,272,59,Hosted License: 5007242201000209
15058397,Beautiful English Bsmt on a Park,27737761,Bryan,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91669,-77.00863,Entire home/apt,135,2,93,2024-05-27,0.99,1,128,26,Hosted License: 5007242201000431
15063053,"Early check in/late out.Walkable,Sunny Garden apt",14062357,Son,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91222,-77.01572,Entire home/apt,141,2,201,2024-06-06,4.56,1,21,53,Hosted License: 5007242201000162
